id,area,feature,current_status,user_story,expected_behavior,verify_method,hist_status,hist_loop1,hist_errors,hist_loop2,code_basis,r2_test_status,r2_test_evidence,r2_defects,r2_fix_location,r2_retest_status,r2_retest_evidence,r2_blocker
EXT-01,extension,runtime detection,pass,"As an operator running the extension in pi/omp/prime, events are attributed to the correct runtime","detectRuntime inspects process.title/env._/argv basenames; omp/omp.* -> omp, prime-agent -> prime, else pi",unit: detectRuntime hints,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/extension/overload.ts:detectRuntime,pass,bun test test/ext-lineage.test.ts test/ext-decision-payload.test.ts test/ext-handoff.test.ts test/ext-host-context.test.ts test/ext-approval-gate.test.ts -> 25 pass 0 fail. detectRuntime reads process.title/env._/argv[0]/argv[1] basenames; host-sim runs under bun (pi path) and all emitted envelopes carry runtime=pi. ext-lineage asserts stable id matches /^local:(pi|omp|prime):<uuid>$/.,,,pass,"bun test test/ext-lineage.test.ts test/ext-decision-payload.test.ts test/ext-handoff.test.ts test/ext-host-context.test.ts test/ext-approval-gate.test.ts -> 25 pass 0 fail. detectRuntime reads process.title/env._/argv[0]/argv[1] basenames; host-sim runs under bun (pi path) and all emitted envelopes carry runtime=pi. ext-lineage asserts stable id matches /^local:(pi|omp|prime):<uuid>$/. worktree idempotency已修复(realpathSync归一化),不再有fail。 | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
EXT-02,extension,spool layout+permissions,pass,"As an operator, agent events land in a per-emitter spool I can sync",writes to ~/.overload/spool/<host>/<emitter_id>/active-<emitter_id>-<n>.ndjson; dirs 0700 files 0600; emitter_id=<runtime>-<pid>-<boot8>,behavioral: run extension host-sim; stat perms,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/extension/overload.ts:SpoolWriter.initialize (mkdir 0o700 + chmod 0o700; open 0o600 + chmod 0o600),pass,"bun test test/ext-lineage.test.ts test/ext-decision-payload.test.ts test/ext-handoff.test.ts test/ext-approval-gate.test.ts -> all pass. Each harness creates ~/.overload/spool/<host>/<emitter_id>/active-<emitter_id>-<n>.ndjson under a tmp HOME; emitter_id=<runtime>-<pid>-<boot8>; close() reads back sealed seg-<emitter>-<n> files proving layout. Perms enforced in initialize() (mkdir mode 0o700, chmod 0o700) and drainAsync (open 0o600, handle.chmod 0o600).",,,pass,bun test test/ext-lineage.test.ts test/ext-decision-payload.test.ts test/ext-handoff.test.ts test/ext-approval-gate.test.ts -> all pass. Each harness creates ~/.overload/spool/<host>/<emitter_id>/active-<emitter_id>-<n>.ndjson under a tmp HOME; emitter_id=<runtime>-<pid>-<boot8>; close() reads back... | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
EXT-03,extension,session_started event,pass,"As an operator, I see when/where a session started","session_started carries lease{pid,proc_boot_id}, cwd, reason, branch (if git), parent from OVERLOAD_PARENT",behavioral: matrix harness envelope check,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/extension/overload.ts:on(""session_start"") handler",pass,"bun test test/ext-lineage.test.ts -> 'the session's OWN parent (pre-start env value) reached the spool' passes: sealed seg first line kind=session_started, detail.parent='outer-parent' (from OVERLOAD_PARENT), detail.host={app:cmux,session_id:test-cmux-surface}. lease{pid,proc_boot_id}, cwd, reason emitted per handler body.",,,pass,"bun test test/ext-lineage.test.ts -> 'the session's OWN parent (pre-start env value) reached the spool' passes: sealed seg first line kind=session_started, detail.parent='outer-parent' (from OVERLOAD_PARENT), detail.host={app:cmux,session_id:test-cmux-surface}. lease{pid,proc_boot_id}, cwd, reason... | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
EXT-04,extension,working transition,pass,"As an operator, I see a session become working when its agent starts",before_agent_start/agent_start/turn_start -> one working event per run (no resend while working),behavioral: emit agent_start twice; expect 1 working,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/extension/overload.ts:setWorking,pass,"bun test test/ext-handoff.test.ts test/ext-approval-gate.test.ts -> pass. setWorking guards `if (!working)` before emitting 'working', so repeated before_agent_start/agent_start/turn_start produce exactly one working event per run; settledForRun/working reset on settle. ext-handoff drives before_agent_start->agent_settled and reads exactly one settled row.
[audit-new-test] test/ext-behavior-extra.test.ts: bun test test/ext-behavior-extra.test.ts -> 4 pass / 0 fail; dispatched before_agent_start+agent_start+turn_start in one run and read spool ndjson: exactly 1 `working` row per run (2 runs = 2 working; the 3-event run was deduplicated by setWorking guard)",,,pass,new test test/ext-behavior-extra.test.ts: bun test test/ext-behavior-extra.test.ts -> 4 pass / 0 fail; dispatched before_agent_start+agent_start+turn_start in one run and read spool ndjson: exactly 1 `working` row per run (2 runs = 2 working; | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
EXT-05,extension,settled with summary,pass,"As an operator, I see last assistant text when a session settles","agent_end/agent_settled -> settled with text <=500B UTF-8-safe truncation, secrets scrubbed",unit: truncateUtf8/scrub + behavioral settle,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/extension/overload.ts:settle (+ truncateUtf8, lastAssistantText from message_end/agent_end)",pass,"bun test test/ext-handoff.test.ts test/ext-decision-payload.test.ts -> pass. settle() emits settled with text=truncateUtf8(lastAssistantText) (<=500B, UTF-8-safe, secrets scrubbed via scrub()). ext-decision-payload verifies token=...REDACTED... scrubbing in decision summary; ext-handoff verifies settled detail.handoff capture.",,,pass,"bun test test/ext-handoff.test.ts test/ext-decision-payload.test.ts -> pass. settle() emits settled with text=truncateUtf8(lastAssistantText) (<=500B, UTF-8-safe, secrets scrubbed via scrub()). ext-decision-payload verifies token=...REDACTED... scrubbing in decision summary; ext-handoff verifies... | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
EXT-06,extension,print-mode lifecycle,pass,"As an operator, print-mode (-p) runs still produce working+settled",agent_end without prior lifecycle callback reconstructs working then settled (settleAgentLifecycle),behavioral: dispatch agent_end only,pass,pass,,pass (loop-2 rerun / suite 126-test green),src/extension/overload.ts:settleAgentLifecycle,pass,bun test test/ext-handoff.test.ts -> pass. settleAgentLifecycle reconstructs working (setWorking) then settle() when agent_end/agent_settled arrives without prior lifecycle callback; guarded by settledForRun so print-mode runs still yield working+settled without duplication.,,,pass,bun test test/ext-handoff.test.ts -> pass. settleAgentLifecycle reconstructs working (setWorking) then settle() when agent_end/agent_settled arrives without prior lifecycle callback; guarded by settledForRun so print-mode runs still yield working+settled without duplication. | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
EXT-07,extension,decision_requested,pass,"As an operator, an ask prompt surfaces as a pending decision",tool_call ask -> decision_requested{request_id=toolCallId},behavioral: fire ask tool_call,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/extension/overload.ts:on(""tool_call"") ask branch (pendingAsk.add + emit decision_requested)",pass,bun test test/ext-decision-payload.test.ts -> 8/8 pass. ask/ask_user tool_call with toolCallId emits decision_requested{request_id=toolCallId} plus questionPayload summary/options; unrecognized shapes yield request_id-only.,,,pass,ext-decision-payload 8/8 + new ext-answer.test.ts ask decision_requested case pass. | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
EXT-08,extension,decision_resolved,pass,"As an operator, answering/cancelling an ask resolves the decision","tool_execution_end ask -> decision_resolved{state:resolved|cancelled, selected?, error?}; isError->cancelled",behavioral: fire resolve + error paths,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/extension/overload.ts:on(""tool_execution_end"")",pass,"bun test test/ext-decision-payload.test.ts -> 'bundled ask_user emits paired requested and resolved events' passes: decision_resolved{request_id,state:resolved,selected:Canary}. isError->cancelled path enforced (state: event.isError?'cancelled':'resolved', error:true on error). pendingAsk.delete guards double-resolution.",,,pass,ext-decision-payload 8/8 + new ext-answer.test.ts 'ask resolution ... emits a single decision_resolved' (duplicate end does not re-emit) pass. | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
EXT-09,extension,tool_activity sampling,pass,"As an operator, tool usage proves liveness without event flood",tool_activity at most every 5s with tool name <=80B,behavioral: rapid tool_calls -> 1 event,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/extension/overload.ts:on(""tool_call"") tool_activity throttle branch",pass,"bun test test/ext-approval-gate.test.ts -> 'git push emits consequential tool activity' passes (tool_activity with consequential:true,class:push). Throttle: rapid calls gated by now-lastToolActivity>=5000; first change-capable call and consequential classes always emit unthrottled. Tool name truncated <=80B via truncateUtf8(tool,80).
[audit-new-test] test/ext-behavior-extra.test.ts: bun test test/ext-behavior-extra.test.ts -> 4 pass / 0 fail; jest.useFakeTimers drives Date.now(): 4 non-change-capable `read` tool_calls collapse to 1 tool_activity inside the 5s window, and the call after advanceTimersByTime(5000) emits again (total 2). consequential git push path is NOT used as a stand-in",,,pass,"new test test/ext-behavior-extra.test.ts: bun test test/ext-behavior-extra.test.ts -> 4 pass / 0 fail; jest.useFakeTimers drives Date.now(): 4 non-change-capable `read` tool_calls collapse to 1 tool_activity inside the 5s window, and the call | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt)",
EXT-10,extension,heartbeat,pass,"As an operator, long model calls still show liveness",heartbeat every 60s while working; stops when settled/shutdown,unit: interval armed on working; cleared on shutdown,pass,pass,,pass (loop-2 rerun / suite 126-test green),"src/extension/overload.ts:setWorking (heartbeat setInterval 60s) + on(""session_shutdown"") clearInterval",pass,"bun test test/ext-*.test.ts suite -> pass. Heartbeat interval armed once in setWorking (HEARTBEAT_INTERVAL_MS=60000) and emits only while working; cleared in session_shutdown. Timers unref'd so they never hold the process open. No interval re-arm while already set (if(!heartbeat)).
[audit-new-test] test/ext-behavior-extra.test.ts: bun test test/ext-behavior-extra.test.ts -> 4 pass / 0 fail; setWorking starts setInterval(60s); advanceTimersByTime(60000)x2 under fake timers yields exactly 2 heartbeat rows; after agent_settled (working=false) a further advance(60000) produces 0 new heartbeats",,,pass,new test test/ext-behavior-extra.test.ts: bun test test/ext-behavior-extra.test.ts -> 4 pass / 0 fail; setWorking starts setInterval(60s); advanceTimersByTime(60000)x2 under fake timers yields exactly 2 heartbeat rows; after agent_settled (wo | 全量回归: 747 pass/1 skip/0 fail (docs/history/test-logs/full-test-log-final-20260922-151847.txt),
