id,area,feature,user_story,expected_behavior,verify_method,status,loop1_result,errors,loop2_result
EXT-01,extension,runtime detection,"As an operator running the extension in pi/omp/prime, events are attributed to the correct runtime","detectRuntime inspects process.title/env._/argv basenames; omp/omp.* -> omp, prime-agent -> prime, else pi",unit: detectRuntime hints,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-02,extension,spool layout+permissions,"As an operator, agent events land in a per-emitter spool I can sync",writes to ~/.overload/spool/<host>/<emitter_id>/active-<emitter_id>-<n>.ndjson; dirs 0700 files 0600; emitter_id=<runtime>-<pid>-<boot8>,behavioral: run extension host-sim; stat perms,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-03,extension,session_started event,"As an operator, I see when/where a session started","session_started carries lease{pid,proc_boot_id}, cwd, reason, branch (if git), parent from OVERLOAD_PARENT",behavioral: matrix harness envelope check,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-04,extension,working transition,"As an operator, I see a session become working when its agent starts",before_agent_start/agent_start/turn_start -> one working event per run (no resend while working),behavioral: emit agent_start twice; expect 1 working,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-05,extension,settled with summary,"As an operator, I see last assistant text when a session settles","agent_end/agent_settled -> settled with text <=500B UTF-8-safe truncation, secrets scrubbed",unit: truncateUtf8/scrub + behavioral settle,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-06,extension,print-mode lifecycle,"As an operator, print-mode (-p) runs still produce working+settled",agent_end without prior lifecycle callback reconstructs working then settled (settleAgentLifecycle),behavioral: dispatch agent_end only,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-07,extension,decision_requested,"As an operator, an ask prompt surfaces as a pending decision",tool_call ask -> decision_requested{request_id=toolCallId},behavioral: fire ask tool_call,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-08,extension,decision_resolved,"As an operator, answering/cancelling an ask resolves the decision","tool_execution_end ask -> decision_resolved{state:resolved|cancelled, selected?, error?}; isError->cancelled",behavioral: fire resolve + error paths,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-09,extension,tool_activity sampling,"As an operator, tool usage proves liveness without event flood",tool_activity at most every 5s with tool name <=80B,behavioral: rapid tool_calls -> 1 event,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-10,extension,heartbeat,"As an operator, long model calls still show liveness",heartbeat every 60s while working; stops when settled/shutdown,unit: interval armed on working; cleared on shutdown,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-11,extension,commit trailer injection,"As an operator, agent commits are attributable to their session",bash 'git commit ...' (no shell metachars) gets --trailer Overload-Session: <stable_id>#<writer_id> appended,behavioral: tool_call bash mutation check,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-12,extension,commit_observed,"As an operator, I see when a session changed HEAD","after bash tool_result, HEAD probe; changed sha -> commit_observed{sha,repo}",behavioral: git repo + HEAD change,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-13,extension,session_ended+flush,"As an operator, session shutdown is recorded and spool flushed",session_shutdown -> session_ended{reason}; queue drained; active segment sealed,behavioral: shutdown then inspect seg file,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-14,extension,segment sealing,"As the ingest pipeline, segments seal at 30s or 1MB so transport sees stable files",active renamed to seg-<emitter>-<n> at 30s age or 1MB; paths never reused,behavioral: write past limits,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-15,extension,overflow+error counters,"As an operator, telemetry loss is visible not silent",queue>1000 drops with dropped_total; write failures bump write_error_total; counters on every envelope,unit: envelope counters present,pass,pass,counters verified on every envelope; overflow drop not force-tested (queue drains faster than fill in-process),pass (loop-2 rerun / suite 126-test green)
EXT-16,extension,host identity,"As an operator, devbox events are tagged devbox",~/.overload/host contents 'devbox' -> host=devbox; missing/unreadable -> local,behavioral: host file variants,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-17,extension,secret scrubbing,"As an operator, tokens never reach the ledger",sk-/ghp_/github_pat/xox tokens and key[:=]value auth patterns replaced with [REDACTED],unit: scrub patterns,pass,pass,,pass (loop-2 rerun / suite 126-test green)
EXT-18,extension,host-safety guarantee,"As an agent user, telemetry can never break my session",handler exceptions and rejections swallowed; spool init failure disables writer with single console warning,behavioral: broken spool root,pass,pass,,pass (loop-2 rerun / suite 126-test green)
ING-01,ingest,config load,"As an operator, I tune scan cadence via config with safe defaults",config.json scan_interval_ms/reducer_batch_size; invalid file warns once and uses defaults 2000/500; non-positive values fall back,unit: loadConfig variants,pass,pass,,pass (loop-2 rerun / suite 126-test green)
